trace_index,trace_is_fit,fitness,produced_tokens,consumed_tokens,missing_tokens,remaining_tokens
635,False,0.9909208819714657,2313,2313,21,21
636,True,1.0,24,24,0,0
637,True,1.0,48,48,0,0
638,True,1.0,32,32,0,0
639,True,1.0,56,56,0,0
640,True,1.0,118,118,0,0
641,False,0.9936616284739151,2051,2051,13,13
642,True,1.0,24,24,0,0
643,True,1.0,24,24,0,0
644,True,1.0,30,30,0,0
645,True,1.0,40,40,0,0
646,True,1.0,32,32,0,0
647,True,1.0,28,28,0,0
648,False,0.9924050632911392,395,395,3,3
649,True,1.0,26,26,0,0
650,True,1.0,40,40,0,0
651,True,1.0,36,36,0,0
652,False,0.9984447900466563,643,643,1,1
653,True,1.0,38,38,0,0
654,True,1.0,24,24,0,0
655,True,1.0,40,40,0,0
656,True,1.0,34,34,0,0
657,True,1.0,28,28,0,0
658,True,1.0,26,26,0,0
659,True,1.0,24,24,0,0
660,True,1.0,38,38,0,0
661,True,1.0,30,30,0,0
662,True,1.0,24,24,0,0
663,True,1.0,24,24,0,0
664,True,1.0,58,58,0,0
665,True,1.0,30,30,0,0
666,True,1.0,32,32,0,0
667,True,1.0,142,142,0,0
668,True,1.0,26,26,0,0
669,True,1.0,76,76,0,0
670,True,1.0,174,174,0,0
671,True,1.0,22,22,0,0
672,True,1.0,128,128,0,0
673,False,0.9906432748538012,1710,1710,16,16
674,True,1.0,28,28,0,0
675,True,1.0,52,52,0,0
676,True,1.0,86,86,0,0
677,True,1.0,32,32,0,0
678,True,1.0,32,32,0,0
679,True,1.0,30,30,0,0
680,True,1.0,34,34,0,0
681,True,1.0,30,30,0,0
682,True,1.0,26,26,0,0
683,True,1.0,46,46,0,0
684,True,1.0,26,26,0,0
685,True,1.0,36,36,0,0
686,True,1.0,30,30,0,0
687,True,1.0,24,24,0,0
688,True,1.0,56,56,0,0
689,True,1.0,32,32,0,0
690,True,1.0,30,30,0,0
691,True,1.0,36,36,0,0
692,True,1.0,32,32,0,0
693,False,0.9936920222634509,2695,2695,17,17
694,False,0.988962472406181,1359,1359,15,15
695,True,1.0,50,50,0,0
696,True,1.0,26,26,0,0
697,True,1.0,20,20,0,0
698,True,1.0,86,86,0,0
699,True,1.0,28,28,0,0
700,True,1.0,54,54,0,0
701,True,1.0,30,30,0,0
702,True,1.0,30,30,0,0
703,True,1.0,74,74,0,0
704,True,1.0,30,30,0,0
705,True,1.0,158,158,0,0
706,True,1.0,30,30,0,0
707,True,1.0,138,138,0,0
708,True,1.0,30,30,0,0
709,True,1.0,24,24,0,0
710,True,1.0,118,118,0,0
711,True,1.0,92,92,0,0
712,True,1.0,106,106,0,0
713,True,1.0,256,256,0,0
714,True,1.0,24,24,0,0
715,True,1.0,50,50,0,0
716,True,1.0,28,28,0,0
717,True,1.0,42,42,0,0
718,True,1.0,24,24,0,0
719,True,1.0,30,30,0,0
720,True,1.0,28,28,0,0
721,True,1.0,28,28,0,0
